Norihiro Akahoshi	2006	30	Hanshin	JPCL	Fgn	142	642	566	84	152	13	3	0	20	35	13	60	94	0.269	0.344	0.302	0.647	171	2	6	9	1	0
Norihiro Akahoshi	2007	31	Hanshin	JPCL	Fgn	121	475	400	61	120	12	1	0	19	24	8	39	58	0.3	0.368	0.335	0.703	134	3	5	29	2	0
Norihiro Akahoshi	2008	32	Hanshin	JPCL	Fgn	144	645	556	94	176	15	1	0	30	41	9	73	87	0.317	0.398	0.347	0.745	193	3	4	9	3	1
Norihiro Akahoshi	2009	33	Hanshin	JPCL	Fgn	91	377	338	48	89	9	1	0	8	31	5	26	54	0.263	0.322	0.296	0.617	100	3	4	7	2	1
Katsutoshi Akai	1958	20	Hiroshima	JPCL	Fgn	1	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Kiyoji Akai	1965	21	Sankei	JPCL	Fgn	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiyoji Akai	1966	22	Sankei	JPCL	Fgn	12	9	9	1	1	0	0	0	0	0	0	0	3	0.111	0.111	0.111	0.222	1	0	0	0	0	0
Kiyoji Akai	1967	23	Sankei	JPCL	Fgn	9	5	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Kiyoji Akai	1968	24	Sankei	JPCL	Fgn	75	125	115	11	24	3	0	1	8	0	2	9	18	0.209	0.266	0.261	0.527	30	2	0	1	0	0
Kiyoji Akai	1969	25	Sankei	JPCL	Fgn	80	115	102	4	21	1	0	0	11	0	0	7	14	0.206	0.264	0.216	0.479	22	0	1	5	0	0
Akitoshi Akaike	1958	20	Kokutetsu	JPCL	Fgn	5	3	2	0	1	0	0	0	0	0	0	1	1	0.5	0.667	0.5	1.167	1	0	0	0	0	0
Akitoshi Akaike	1959	21	Kokutetsu	JPCL	Fgn	10	3	3	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
